"","Country","25to64","25to34","Year","Degree"
"1","Australia",58.787689,68.306595,2000,"Secondary"
"2","Austria",NA,NA,2000,"Secondary"
"3","Belgium",58.52322,75.323128,2000,"Secondary"
"4","Canada",80.667519,88.267365,2000,"Secondary"
"5","Chile",NA,NA,2000,"Secondary"
"6","Colombia",NA,NA,2000,"Secondary"
"7","CostaRica",30.3647,32.305904,2000,"Secondary"
"8","CzechRepublic",85.942017,92.417854,2000,"Secondary"
"9","Denmark",79.781113,86.915207,2000,"Secondary"
"10","Estonia",85.248634,91.389977,2000,"Secondary"
"11","Finland",73.162422,86.283249,2000,"Secondary"
"12","France",62.240974,76.389427,2000,"Secondary"
"13","Germany",81.726166,84.854927,2000,"Secondary"
"14","Greece",49.287651,68.701294,2000,"Secondary"
"15","Hungary",69.218109,81.274368,2000,"Secondary"
"16","Iceland",NA,NA,2000,"Secondary"
"17","Ireland",57.293076,73.046165,2000,"Secondary"
"18","Israel",NA,NA,2000,"Secondary"
"19","Italy",42.113556,56.43354,2000,"Secondary"
"20","Japan",NA,NA,2000,"Secondary"
"21","KoreaRepublicof",68.245049,93.241989,2000,"Secondary"
"22","Latvia",83.240379,88.682907,2000,"Secondary"
"23","Lithuania",84.229095,91.778458,2000,"Secondary"
"24","Luxembourg",60.919254,68.163231,2000,"Secondary"
"25","Mexico",29.089918,37.068199,2000,"Secondary"
"26","Netherlands",64.856369,74.314659,2000,"Secondary"
"27","NewZealand",NA,NA,2000,"Secondary"
"28","Norway",NA,NA,2000,"Secondary"
"29","Poland",79.880562,89.385796,2000,"Secondary"
"30","Portugal",19.374249,31.816389,2000,"Secondary"
"31","SlovakRepublic",83.806419,93.685013,2000,"Secondary"
"32","Slovenia",74.823418,85.429161,2000,"Secondary"
"33","Spain",38.594109,55.62685,2000,"Secondary"
"34","Sweden",77.551811,87.264671,2000,"Secondary"
"35","Switzerland",83.879639,89.815979,2000,"Secondary"
"36","Turkey",23.296068,27.74379,2000,"Secondary"
"37","UnitedKingdom",62.611389,66.823769,2000,"Secondary"
"38","UnitedStates",87.442734,88.16021,2000,"Secondary"
"39","Otherreportingcountries",NA,NA,2000,"Secondary"
"40","China",NA,NA,2000,"Secondary"
"41","RussianFederation",NA,NA,2000,"Secondary"
"42","Australia",65.032036,78.609978,2005,"Secondary"
"43","Austria",76.944931,85.551224,2005,"Secondary"
"44","Belgium",66.096245,80.940819,2005,"Secondary"
"45","Canada",85.183495,90.762672,2005,"Secondary"
"46","Chile",NA,NA,2005,"Secondary"
"47","Colombia",NA,NA,2005,"Secondary"
"48","CostaRica",35.126831,38.493637,2005,"Secondary"
"49","CzechRepublic",89.9254,93.92675,2005,"Secondary"
"50","Denmark",81.016785,87.417679,2005,"Secondary"
"51","Estonia",88.658356,87.291664,2005,"Secondary"
"52","Finland",78.787521,89.443466,2005,"Secondary"
"53","France",66.810066,81.461349,2005,"Secondary"
"54","Germany",83.107147,84.14196,2005,"Secondary"
"55","Greece",57.713791,74.372795,2005,"Secondary"
"56","Hungary",76.390182,84.983612,2005,"Secondary"
"57","Iceland",68.174004,70.902397,2005,"Secondary"
"58","Ireland",64.533279,81.130127,2005,"Secondary"
"59","Israel",78.934875,85.470779,2005,"Secondary"
"60","Italy",50.086136,65.913315,2005,"Secondary"
"61","Japan",NA,NA,2005,"Secondary"
"62","KoreaRepublicof",75.6408,97.29287,2005,"Secondary"
"63","Latvia",84.419899,80.352859,2005,"Secondary"
"64","Lithuania",87.501495,86.794853,2005,"Secondary"
"65","Luxembourg",65.853638,76.533173,2005,"Secondary"
"66","Mexico",28.155909,33.720089,2005,"Secondary"
"67","Netherlands",71.818947,81.26564,2005,"Secondary"
"68","NewZealand",NA,NA,2005,"Secondary"
"69","Norway",77.213615,83.456871,2005,"Secondary"
"70","Poland",85.112869,91.988571,2005,"Secondary"
"71","Portugal",26.450506,42.831749,2005,"Secondary"
"72","SlovakRepublic",87.869385,92.839943,2005,"Secondary"
"73","Slovenia",80.296158,91.188713,2005,"Secondary"
"74","Spain",48.756454,64.463715,2005,"Secondary"
"75","Sweden",83.59185,90.573105,2005,"Secondary"
"76","Switzerland",85.246902,89.752655,2005,"Secondary"
"77","Turkey",28.082048,36.803181,2005,"Secondary"
"78","UnitedKingdom",66.83168,73.061646,2005,"Secondary"
"79","UnitedStates",87.774384,86.743637,2005,"Secondary"
"80","Otherreportingcountries",NA,NA,2005,"Secondary"
"81","China",NA,NA,2005,"Secondary"
"82","RussianFederation",NA,NA,2005,"Secondary"
"83","Australia",73.20726,84.763695,2010,"Secondary"
"84","Austria",82.352501,87.817139,2010,"Secondary"
"85","Belgium",70.499512,82.098549,2010,"Secondary"
"86","Canada",88.263115,92.061035,2010,"Secondary"
"87","Chile",NA,NA,2010,"Secondary"
"88","Colombia",NA,NA,2010,"Secondary"
"89","CostaRica",36.852016,44.897259,2010,"Secondary"
"90","CzechRepublic",91.942635,94.239113,2010,"Secondary"
"91","Denmark",76.710075,79.863144,2010,"Secondary"
"92","Estonia",89.135437,86.523697,2010,"Secondary"
"93","Finland",82.982826,90.80555,2010,"Secondary"
"94","France",70.766678,83.758736,2010,"Secondary"
"95","Germany",85.810318,86.498306,2010,"Secondary"
"96","Greece",62.73634,75.537567,2010,"Secondary"
"97","Hungary",81.292351,86.311142,2010,"Secondary"
"98","Iceland",69.149384,71.39521,2010,"Secondary"
"99","Ireland",72.774818,85.579094,2010,"Secondary"
"100","Israel",82.064377,88.137405,2010,"Secondary"
"101","Italy",55.174355,70.975731,2010,"Secondary"
"102","Japan",NA,NA,2010,"Secondary"
"103","KoreaRepublicof",80.940727,97.858498,2010,"Secondary"
"104","Latvia",88.603905,83.734772,2010,"Secondary"
"105","Lithuania",91.898819,88.298515,2010,"Secondary"
"106","Luxembourg",77.677689,84.04998,2010,"Secondary"
"107","Mexico",32.086128,38.343006,2010,"Secondary"
"108","Netherlands",72.973579,82.740852,2010,"Secondary"
"109","NewZealand",NA,NA,2010,"Secondary"
"110","Norway",80.627556,82.939545,2010,"Secondary"
"111","Poland",88.514725,93.644257,2010,"Secondary"
"112","Portugal",31.917542,52.115604,2010,"Secondary"
"113","SlovakRepublic",90.96521,94.102562,2010,"Secondary"
"114","Slovenia",83.310051,93.464134,2010,"Secondary"
"115","Spain",52.872963,65.327507,2010,"Secondary"
"116","Sweden",86.272629,90.821327,2010,"Secondary"
"117","Switzerland",85.033241,87.779388,2010,"Secondary"
"118","Turkey",31.206043,42.20129,2010,"Secondary"
"119","UnitedKingdom",75.062401,82.943954,2010,"Secondary"
"120","UnitedStates",88.969521,88.40667,2010,"Secondary"
"121","Otherreportingcountries",NA,NA,2010,"Secondary"
"122","China",24.461826,35.696335,2010,"Secondary"
"123","RussianFederation",92.804802,92.56707,2010,"Secondary"
"124","Australia",79.019104,88.079178,2015,"Secondary"
"125","Austria",84.648697,89.993294,2015,"Secondary"
"126","Belgium",74.677101,82.531387,2015,"Secondary"
"127","Canada",90.402107,93.314072,2015,"Secondary"
"128","Chile",64.866493,83.229362,2015,"Secondary"
"129","Colombia",50.410896,66.924706,2015,"Secondary"
"130","CostaRica",39.367641,48.614067,2015,"Secondary"
"131","CzechRepublic",93.158791,93.721863,2015,"Secondary"
"132","Denmark",79.719368,81.774994,2015,"Secondary"
"133","Estonia",88.557838,87.748817,2015,"Secondary"
"134","Finland",87.152863,89.534996,2015,"Secondary"
"135","France",77.532402,86.522041,2015,"Secondary"
"136","Germany",86.791252,87.348541,2015,"Secondary"
"137","Greece",70.21991,83.633514,2015,"Secondary"
"138","Hungary",83.216949,85.975121,2015,"Secondary"
"139","Iceland",73.417145,73.262764,2015,"Secondary"
"140","Ireland",79.817421,90.832603,2015,"Secondary"
"141","Israel",85.535118,91.159637,2015,"Secondary"
"142","Italy",59.891224,74.411118,2015,"Secondary"
"143","Japan",NA,NA,2015,"Secondary"
"144","KoreaRepublicof",85.770599,98.292564,2015,"Secondary"
"145","Latvia",87.782051,84.878365,2015,"Secondary"
"146","Lithuania",91.355782,89.726166,2015,"Secondary"
"147","Luxembourg",74.608368,84.485893,2015,"Secondary"
"148","Mexico",35.663193,45.0047,2015,"Secondary"
"149","Netherlands",76.399574,85.586029,2015,"Secondary"
"150","NewZealand",74.722382,80.994553,2015,"Secondary"
"151","Norway",82.371864,81.329926,2015,"Secondary"
"152","Poland",90.777977,93.909737,2015,"Secondary"
"153","Portugal",45.122936,66.72451,2015,"Secondary"
"154","SlovakRepublic",91.285263,92.810883,2015,"Secondary"
"155","Slovenia",86.786331,94.134964,2015,"Secondary"
"156","Spain",57.434006,65.597412,2015,"Secondary"
"157","Sweden",81.975914,82.311806,2015,"Secondary"
"158","Switzerland",87.295174,91.040154,2015,"Secondary"
"159","Turkey",36.992447,52.077103,2015,"Secondary"
"160","UnitedKingdom",79.617668,86.179901,2015,"Secondary"
"161","UnitedStates",89.542137,90.481873,2015,"Secondary"
"162","Otherreportingcountries",NA,NA,2015,"Secondary"
"163","China",NA,NA,2015,"Secondary"
"164","RussianFederation",93.660416,93.52153,2015,"Secondary"
"165","Australia",82.86734,90.532265,2019,"Secondary"
"166","Austria",85.56414,89.437874,2019,"Secondary"
"167","Belgium",78.686134,85.215088,2019,"Secondary"
"168","Canada",91.857964,93.97287,2019,"Secondary"
"169","Chile",NA,NA,2019,"Secondary"
"170","Colombia",56.71022,72.336609,2019,"Secondary"
"171","CostaRica",42.695858,53.56913,2019,"Secondary"
"172","CzechRepublic",93.752426,92.957176,2019,"Secondary"
"173","Denmark",81.589485,82.41684,2019,"Secondary"
"174","Estonia",90.056503,88.503304,2019,"Secondary"
"175","Finland",90.263908,91.322899,2019,"Secondary"
"176","France",80.438324,87.430542,2019,"Secondary"
"177","Germany",86.722534,86.863564,2019,"Secondary"
"178","Greece",73.956497,87.492859,2019,"Secondary"
"179","Hungary",84.973633,87.339844,2019,"Secondary"
"180","Iceland",75.939018,78.253151,2019,"Secondary"
"181","Ireland",83.657059,92.573212,2019,"Secondary"
"182","Israel",87.079498,91.498894,2019,"Secondary"
"183","Italy",62.162392,76.177002,2019,"Secondary"
"184","Japan",NA,NA,2019,"Secondary"
"185","KoreaRepublicof",88.729591,97.779312,2019,"Secondary"
"186","Latvia",88.435196,88.515907,2019,"Secondary"
"187","Lithuania",93.264198,92.996063,2019,"Secondary"
"188","Luxembourg",75.145386,86.73674,2019,"Secondary"
"189","Mexico",39.788578,51.310452,2019,"Secondary"
"190","Netherlands",79.559227,87.644447,2019,"Secondary"
"191","NewZealand",80.697433,86.586441,2019,"Secondary"
"192","Norway",82.519814,82.586426,2019,"Secondary"
"193","Poland",92.632317,94.025665,2019,"Secondary"
"194","Portugal",52.175987,75.242584,2019,"Secondary"
"195","SlovakRepublic",91.210785,90.638618,2019,"Secondary"
"196","Slovenia",88.797112,95.119591,2019,"Secondary"
"197","Spain",61.314106,69.847176,2019,"Secondary"
"198","Sweden",83.633133,83.684593,2019,"Secondary"
"199","Switzerland",89.006927,93.721252,2019,"Secondary"
"200","Turkey",41.70013,59.136887,2019,"Secondary"
"201","UnitedKingdom",80.060234,85.447899,2019,"Secondary"
"202","UnitedStates",90.810127,92.780266,2019,"Secondary"
"203","Otherreportingcountries",NA,NA,2019,"Secondary"
"204","China",NA,NA,2019,"Secondary"
"205","RussianFederation",NA,NA,2019,"Secondary"
"206","Australia",27.475746,31.372517,2000,"Post-Secondary"
"207","Austria",NA,NA,2000,"Post-Secondary"
"208","Belgium",27.084993,36.020634,2000,"Post-Secondary"
"209","Canada",40.105782,48.400093,2000,"Post-Secondary"
"210","Chile",NA,NA,2000,"Post-Secondary"
"211","Colombia",NA,NA,2000,"Post-Secondary"
"212","CostaRica",16.448679,17.537357,2000,"Post-Secondary"
"213","CzechRepublic",10.963162,11.199056,2000,"Post-Secondary"
"214","Denmark",25.777601,29.295521,2000,"Post-Secondary"
"215","Estonia",28.669167,28.721388,2000,"Post-Secondary"
"216","Finland",32.614372,38.671585,2000,"Post-Secondary"
"217","France",21.58481,31.375711,2000,"Post-Secondary"
"218","Germany",23.498837,22.250971,2000,"Post-Secondary"
"219","Greece",17.672335,23.921938,2000,"Post-Secondary"
"220","Hungary",14.041859,14.693064,2000,"Post-Secondary"
"221","Iceland",NA,NA,2000,"Post-Secondary"
"222","Ireland",21.613003,29.803612,2000,"Post-Secondary"
"223","Israel",NA,NA,2000,"Post-Secondary"
"224","Italy",9.3770475,10.429003,2000,"Post-Secondary"
"225","Japan",33.615494,47.844826,2000,"Post-Secondary"
"226","KoreaRepublicof",23.849094,36.81242,2000,"Post-Secondary"
"227","Latvia",18.218046,17.292057,2000,"Post-Secondary"
"228","Lithuania",41.801403,39.739216,2000,"Post-Secondary"
"229","Luxembourg",18.284153,22.884604,2000,"Post-Secondary"
"230","Mexico",14.635047,17.454798,2000,"Post-Secondary"
"231","Netherlands",23.375116,26.57077,2000,"Post-Secondary"
"232","NewZealand",NA,NA,2000,"Post-Secondary"
"233","Norway",NA,NA,2000,"Post-Secondary"
"234","Poland",11.36204,14.184261,2000,"Post-Secondary"
"235","Portugal",8.8429394,12.948861,2000,"Post-Secondary"
"236","SlovakRepublic",10.37334,11.197058,2000,"Post-Secondary"
"237","Slovenia",15.726464,19.301691,2000,"Post-Secondary"
"238","Spain",22.704889,33.978283,2000,"Post-Secondary"
"239","Sweden",30.122953,33.639328,2000,"Post-Secondary"
"240","Switzerland",24.177282,25.571112,2000,"Post-Secondary"
"241","Turkey",8.3461838,8.8802376,2000,"Post-Secondary"
"242","UnitedKingdom",25.683083,28.901674,2000,"Post-Secondary"
"243","UnitedStates",36.494774,38.083973,2000,"Post-Secondary"
"244","China",NA,NA,2000,"Post-Secondary"
"245","RussianFederation",NA,NA,2000,"Post-Secondary"
"246","Australia",31.691153,38.098312,2005,"Post-Secondary"
"247","Austria",24.639351,30.570971,2005,"Post-Secondary"
"248","Belgium",31.045088,40.605904,2005,"Post-Secondary"
"249","Canada",45.976749,53.694931,2005,"Post-Secondary"
"250","Chile",NA,NA,2005,"Post-Secondary"
"251","Colombia",NA,NA,2005,"Post-Secondary"
"252","CostaRica",20.842731,24.05043,2005,"Post-Secondary"
"253","CzechRepublic",13.058269,14.231308,2005,"Post-Secondary"
"254","Denmark",33.544121,39.83181,2005,"Post-Secondary"
"255","Estonia",33.025089,32.912037,2005,"Post-Secondary"
"256","Finland",34.629433,37.541725,2005,"Post-Secondary"
"257","France",25.425774,39.776222,2005,"Post-Secondary"
"258","Germany",24.552816,22.494616,2005,"Post-Secondary"
"259","Greece",21.472097,25.663805,2005,"Post-Secondary"
"260","Hungary",17.083904,19.573023,2005,"Post-Secondary"
"261","Iceland",29.471401,34.525562,2005,"Post-Secondary"
"262","Ireland",29.074234,40.673939,2005,"Post-Secondary"
"263","Israel",43.047825,42.927929,2005,"Post-Secondary"
"264","Italy",12.224514,16.105026,2005,"Post-Secondary"
"265","Japan",39.939026,53.185596,2005,"Post-Secondary"
"266","KoreaRepublicof",31.619953,50.858059,2005,"Post-Secondary"
"267","Latvia",20.293005,21.733368,2005,"Post-Secondary"
"268","Lithuania",26.547928,36.882675,2005,"Post-Secondary"
"269","Luxembourg",26.549366,37.013,2005,"Post-Secondary"
"270","Mexico",12.723972,14.924469,2005,"Post-Secondary"
"271","Netherlands",30.11544,35.375629,2005,"Post-Secondary"
"272","NewZealand",NA,NA,2005,"Post-Secondary"
"273","Norway",32.692787,40.902966,2005,"Post-Secondary"
"274","Poland",16.926928,25.536215,2005,"Post-Secondary"
"275","Portugal",12.844431,19.114288,2005,"Post-Secondary"
"276","SlovakRepublic",14.004099,16.254873,2005,"Post-Secondary"
"277","Slovenia",20.171976,24.686516,2005,"Post-Secondary"
"278","Spain",28.518797,40.703537,2005,"Post-Secondary"
"279","Sweden",29.645443,37.286453,2005,"Post-Secondary"
"280","Switzerland",28.763943,31.038237,2005,"Post-Secondary"
"281","Turkey",10.23861,12.508089,2005,"Post-Secondary"
"282","UnitedKingdom",29.709032,35.345379,2005,"Post-Secondary"
"283","UnitedStates",39.054729,39.363441,2005,"Post-Secondary"
"284","China",NA,NA,2005,"Post-Secondary"
"285","RussianFederation",NA,NA,2005,"Post-Secondary"
"286","Australia",37.604309,44.374836,2010,"Post-Secondary"
"287","Austria",27.743721,33.863789,2010,"Post-Secondary"
"288","Belgium",34.989502,43.801159,2010,"Post-Secondary"
"289","Canada",50.311695,56.169838,2010,"Post-Secondary"
"290","Chile",NA,NA,2010,"Post-Secondary"
"291","Colombia",NA,NA,2010,"Post-Secondary"
"292","CostaRica",20.980572,26.131706,2010,"Post-Secondary"
"293","CzechRepublic",16.764982,22.630354,2010,"Post-Secondary"
"294","Denmark",33.002644,37.608952,2010,"Post-Secondary"
"295","Estonia",35.423084,38.010132,2010,"Post-Secondary"
"296","Finland",38.146343,39.207012,2010,"Post-Secondary"
"297","France",29.006897,42.87175,2010,"Post-Secondary"
"298","Germany",26.609148,26.133959,2010,"Post-Secondary"
"299","Greece",24.744848,31.15996,2010,"Post-Secondary"
"300","Hungary",20.121918,26.019491,2010,"Post-Secondary"
"301","Iceland",31.298735,34.048439,2010,"Post-Secondary"
"302","Ireland",37.584061,48.32497,2010,"Post-Secondary"
"303","Israel",45.560074,44.216198,2010,"Post-Secondary"
"304","Italy",14.802574,20.719744,2010,"Post-Secondary"
"305","Japan",44.809975,56.70573,2010,"Post-Secondary"
"306","KoreaRepublicof",39.044632,61.449047,2010,"Post-Secondary"
"307","Latvia",26.946114,34.697613,2010,"Post-Secondary"
"308","Lithuania",32.440029,46.317448,2010,"Post-Secondary"
"309","Luxembourg",35.475895,44.22842,2010,"Post-Secondary"
"310","Mexico",14.654601,17.700443,2010,"Post-Secondary"
"311","Netherlands",32.389164,40.803711,2010,"Post-Secondary"
"312","NewZealand",NA,NA,2010,"Post-Secondary"
"313","Norway",37.284328,47.255039,2010,"Post-Secondary"
"314","Poland",22.468407,37.126976,2010,"Post-Secondary"
"315","Portugal",15.445285,24.804928,2010,"Post-Secondary"
"316","SlovakRepublic",17.327984,24.029381,2010,"Post-Secondary"
"317","Slovenia",23.716619,31.307655,2010,"Post-Secondary"
"318","Spain",31.016668,40.312317,2010,"Post-Secondary"
"319","Sweden",33.868935,42.23127,2010,"Post-Secondary"
"320","Switzerland",33.881504,37.405544,2010,"Post-Secondary"
"321","Turkey",13.118464,17.447386,2010,"Post-Secondary"
"322","UnitedKingdom",38.187191,46.046906,2010,"Post-Secondary"
"323","UnitedStates",41.662415,42.310982,2010,"Post-Secondary"
"324","China",9.6811743,17.948812,2010,"Post-Secondary"
"325","RussianFederation",50.371468,52.537052,2010,"Post-Secondary"
"326","Australia",42.888756,48.466274,2015,"Post-Secondary"
"327","Austria",30.550726,38.626846,2015,"Post-Secondary"
"328","Belgium",36.857422,43.144318,2015,"Post-Secondary"
"329","Canada",55.17366,59.182831,2015,"Post-Secondary"
"330","Chile",22.475199,29.874573,2015,"Post-Secondary"
"331","Colombia",21.562889,27.445988,2015,"Post-Secondary"
"332","CostaRica",23.136086,28.331566,2015,"Post-Secondary"
"333","CzechRepublic",22.186741,31.010311,2015,"Post-Secondary"
"334","Denmark",36.565422,43.043034,2015,"Post-Secondary"
"335","Estonia",38.030697,40.508533,2015,"Post-Secondary"
"336","Finland",42.742619,40.524899,2015,"Post-Secondary"
"337","France",34.085361,44.687599,2015,"Post-Secondary"
"338","Germany",27.638235,29.588667,2015,"Post-Secondary"
"339","Greece",29.057495,40.063866,2015,"Post-Secondary"
"340","Hungary",24.242552,32.12635,2015,"Post-Secondary"
"341","Iceland",36.97718,37.672207,2015,"Post-Secondary"
"342","Ireland",42.806118,52.004166,2015,"Post-Secondary"
"343","Israel",48.824478,45.897861,2015,"Post-Secondary"
"344","Italy",17.546457,25.149963,2015,"Post-Secondary"
"345","Japan",49.541573,59.646538,2015,"Post-Secondary"
"346","KoreaRepublicof",45.356678,68.861946,2015,"Post-Secondary"
"347","Latvia",31.591949,39.870365,2015,"Post-Secondary"
"348","Lithuania",38.724106,54.769646,2015,"Post-Secondary"
"349","Luxembourg",39.794865,49.945854,2015,"Post-Secondary"
"350","Mexico",16.278801,20.806568,2015,"Post-Secondary"
"351","Netherlands",35.330765,45.087276,2015,"Post-Secondary"
"352","NewZealand",34.040531,39.066757,2015,"Post-Secondary"
"353","Norway",42.706734,48.138676,2015,"Post-Secondary"
"354","Poland",27.747267,43.193764,2015,"Post-Secondary"
"355","Portugal",22.857506,33.139576,2015,"Post-Secondary"
"356","SlovakRepublic",21.149881,31.312998,2015,"Post-Secondary"
"357","Slovenia",30.173296,40.758549,2015,"Post-Secondary"
"358","Spain",35.081161,40.959778,2015,"Post-Secondary"
"359","Sweden",39.786552,46.408928,2015,"Post-Secondary"
"360","Switzerland",39.782719,46.502586,2015,"Post-Secondary"
"361","Turkey",18.020138,27.517448,2015,"Post-Secondary"
"362","UnitedKingdom",44.197987,49.943413,2015,"Post-Secondary"
"363","UnitedStates",44.629398,46.517712,2015,"Post-Secondary"
"364","China",NA,NA,2015,"Post-Secondary"
"365","RussianFederation",52.42807,56.2855,2015,"Post-Secondary"
"366","Australia",47.129978,52.478458,2019,"Post-Secondary"
"367","Austria",33.773777,41.610401,2019,"Post-Secondary"
"368","Belgium",40.67009,47.282982,2019,"Post-Secondary"
"369","Canada",59.374844,62.965115,2019,"Post-Secondary"
"370","Chile",NA,NA,2019,"Post-Secondary"
"371","Colombia",23.819326,29.873518,2019,"Post-Secondary"
"372","CostaRica",25.066828,31.346508,2019,"Post-Secondary"
"373","CzechRepublic",24.212393,32.580391,2019,"Post-Secondary"
"374","Denmark",40.353836,47.097672,2019,"Post-Secondary"
"375","Estonia",41.368298,42.760071,2019,"Post-Secondary"
"376","Finland",45.93438,41.820766,2019,"Post-Secondary"
"377","France",37.904724,48.052528,2019,"Post-Secondary"
"378","Germany",29.900126,33.260235,2019,"Post-Secondary"
"379","Greece",31.890486,42.406635,2019,"Post-Secondary"
"380","Hungary",25.981535,30.589085,2019,"Post-Secondary"
