"","Country","Emp_rate","med.mo.earn","Type","Prof","cfinsum"
"1","Austria",92.861541,NA,1,"1",90.6567687297297
"2","Canada",93.651871,NA,1,"1",90.6567687297297
"3","Chile",96.046313,1000,1,"1",90.6567687297297
"4","Czech Republic",91.294304,1310,1,"1",90.6567687297297
"5","Denmark",90.808406,3460,1,"1",90.6567687297297
"6","England UK",87.540933,2100,1,"1",90.6567687297297
"7","Estonia",89.467118,1170,1,"1",90.6567687297297
"8","Finland",92.502802,2690,1,"1",90.6567687297297
"9","Flanders Belgium",96.493218,2810,1,"1",90.6567687297297
"10","France",89.399663,2020,1,"1",90.6567687297297
"11","Germany",91.102728,NA,1,"1",90.6567687297297
"12","Greece",83.58991,1310,1,"1",90.6567687297297
"13","Hungary",93.140093,NA,1,"1",90.6567687297297
"14","Ireland",83.553436,2300,1,"1",90.6567687297297
"15","Israel",94.57618,1690,1,"1",90.6567687297297
"16","Italy",84.142352,2150,1,"1",90.6567687297297
"17","Japan",98.863304,1780,1,"1",90.6567687297297
"18","Korea Republicof",97.400081,1960,1,"1",90.6567687297297
"19","Lithuania",84.441422,830,1,"1",90.6567687297297
"20","Mexico",97.092004,560,1,"1",90.6567687297297
"21","Netherlands",91.488747,2460,1,"1",90.6567687297297
"22","New Zealand",89.356115,2340,1,"1",90.6567687297297
"23","Northern Ireland UK",90.620465,1900,1,"1",90.6567687297297
"24","Norway",93.588912,3290,1,"1",90.6567687297297
"25","Poland",87.999665,1200,1,"1",90.6567687297297
"26","Slovak Republic",79.55071,1020,1,"1",90.6567687297297
"27","Slovenia",87.060245,1230,1,"1",90.6567687297297
"28","Spain",75.075549,1860,1,"1",90.6567687297297
"29","Sweden",85.296784,NA,1,"1",90.6567687297297
"30","Turkey",91.717081,NA,1,"1",90.6567687297297
"31","United States",88.984694,2370,1,"1",90.6567687297297
"32","Cyprus",87.287789,2300,1,"1",90.6567687297297
"33","Ecuador",94.469029,690,1,"1",90.6567687297297
"34","Kazakhstan",95.10825,780,1,"1",90.6567687297297
"35","Peru",97.883173,NA,1,"1",90.6567687297297
"36","Russian Federation",95.004715,780,1,"1",90.6567687297297
"37","Singapore",95.840841,NA,1,"1",90.6567687297297
"38","Austria",92.68399,NA,2,"1",93.2389735405405
"39","Canada",93.019362,NA,2,"1",93.2389735405405
"40","Chile",95.795625,960,2,"1",93.2389735405405
"41","Czech Republic",87.325834,1250,2,"1",93.2389735405405
"42","Denmark",89.36713,3350,2,"1",93.2389735405405
"43","England UK",87.595053,2060,2,"1",93.2389735405405
"44","Estonia",87.552913,1080,2,"1",93.2389735405405
"45","Finland",90.823177,2560,2,"1",93.2389735405405
"46","Flanders Belgium",96.75734,2730,2,"1",93.2389735405405
"47","France",89.070884,2000,2,"1",93.2389735405405
"48","Germany",89.807437,NA,2,"1",93.2389735405405
"49","Greece",81.378884,1300,2,"1",93.2389735405405
"50","Hungary",93.093764,NA,2,"1",93.2389735405405
"51","Ireland",84.093504,2280,2,"1",93.2389735405405
"52","Israel",94.015093,1610,2,"1",93.2389735405405
"53","Italy",82.462221,2160,2,"1",93.2389735405405
"54","Japan",98.806425,1700,2,"1",93.2389735405405
"55","Korea Republicof",96.407559,2010,2,"1",93.2389735405405
"56","Lithuania",80.920928,800,2,"1",93.2389735405405
"57","Mexico",97.318834,580,2,"1",93.2389735405405
"58","Netherlands",90.082075,2410,2,"1",93.2389735405405
"59","New Zealand",90.013356,2380,2,"1",93.2389735405405
"60","Northern Ireland UK",91.23225,1870,2,"1",93.2389735405405
"61","Norway",92.935309,3230,2,"1",93.2389735405405
"62","Poland",86.521692,1200,2,"1",93.2389735405405
"63","Slovak Republic",75.299492,990,2,"1",93.2389735405405
"64","Slovenia",84.721319,1190,2,"1",93.2389735405405
"65","Spain",74.164655,1810,2,"1",93.2389735405405
"66","Sweden",86.18696,NA,2,"1",93.2389735405405
"67","Turkey",91.679124,NA,2,"1",93.2389735405405
"68","United States",88.114311,2410,2,"1",93.2389735405405
"69","Cyprus",86.627691,2090,2,"1",93.2389735405405
"70","Ecuador",94.339755,660,2,"1",93.2389735405405
"71","Kazakhstan",95.54477,760,2,"1",93.2389735405405
"72","Peru",97.68401,NA,2,"1",93.2389735405405
"73","Russian Federation",96.316491,680,2,"1",93.2389735405405
"74","Singapore",95.567116,NA,2,"1",93.2389735405405
"75","Austria",95.989012,NA,1,"2",94.8770287837838
"76","Canada",95.413042,NA,1,"2",94.8770287837838
"77","Chile",96.58538,1520,1,"2",94.8770287837838
"78","Czech Republic",92.603371,1550,1,"2",94.8770287837838
"79","Denmark",94.512733,3930,1,"2",94.8770287837838
"80","England UK",92.490941,2510,1,"2",94.8770287837838
"81","Estonia",92.110067,1330,1,"2",94.8770287837838
"82","Finland",95.278671,3030,1,"2",94.8770287837838
"83","Flanders Belgium",97.354414,3270,1,"2",94.8770287837838
"84","France",92.878188,2320,1,"2",94.8770287837838
"85","Germany",94.853865,NA,1,"2",94.8770287837838
"86","Greece",76.980726,1520,1,"2",94.8770287837838
"87","Hungary",96.069051,NA,1,"2",94.8770287837838
"88","Ireland",86.682703,2860,1,"2",94.8770287837838
"89","Israel",95.120596,1990,1,"2",94.8770287837838
"90","Italy",87.20513,2340,1,"2",94.8770287837838
"91","Japan",99.052153,2320,1,"2",94.8770287837838
"92","Korea Republicof",96.981848,2680,1,"2",94.8770287837838
"93","Lithuania",89.13139,1020,1,"2",94.8770287837838
"94","Mexico",97.479733,740,1,"2",94.8770287837838
"95","Netherlands",94.730738,2950,1,"2",94.8770287837838
"96","New Zealand",93.732153,2780,1,"2",94.8770287837838
"97","Northern Ireland UK",94.402658,2310,1,"2",94.8770287837838
"98","Norway",96.777428,3860,1,"2",94.8770287837838
"99","Poland",90.764874,1340,1,"2",94.8770287837838
"100","Slovak Republic",90.446261,1280,1,"2",94.8770287837838
"101","Slovenia",89.722916,1470,1,"2",94.8770287837838
"102","Spain",82.533584,2160,1,"2",94.8770287837838
"103","Sweden",94.154994,NA,1,"2",94.8770287837838
"104","Turkey",93.88118,NA,1,"2",94.8770287837838
"105","United States",91.196425,3080,1,"2",94.8770287837838
"106","Cyprus",91.833097,2480,1,"2",94.8770287837838
"107","Ecuador",95.495879,850,1,"2",94.8770287837838
"108","Kazakhstan",95.568036,820,1,"2",94.8770287837838
"109","Peru",97.344572,NA,1,"2",94.8770287837838
"110","Russian Federation",95.896565,750,1,"2",94.8770287837838
"111","Singapore",96.587647,NA,1,"2",94.8770287837838
"112","Austria",95.881851,NA,2,"2",95.7452296060606
"113","Canada",95.736091,NA,2,"2",95.7452296060606
"114","Chile",96.325319,1810,2,"2",95.7452296060606
"115","Czech Republic",92.846112,1500,2,"2",95.7452296060606
"116","Denmark",93.222041,3760,2,"2",95.7452296060606
"117","England UK",94.05664,2630,2,"2",95.7452296060606
"118","Estonia",92.156062,1310,2,"2",95.7452296060606
"119","Finland",94.909299,2980,2,"2",95.7452296060606
"120","Flanders Belgium",97.419728,3180,2,"2",95.7452296060606
"121","France",92.363457,2310,2,"2",95.7452296060606
"122","Germany",94.540142,NA,2,"2",95.7452296060606
"123","Greece",76.942529,1490,2,"2",95.7452296060606
"124","Hungary",95.296658,NA,2,"2",95.7452296060606
"125","Ireland",88.197218,2920,2,"2",95.7452296060606
"126","Israel",94.975442,1950,2,"2",95.7452296060606
"127","Italy",87.975499,2290,2,"2",95.7452296060606
"128","Japan",96.897589,2260,2,"2",95.7452296060606
"129","Korea Republicof",96.821672,2710,2,"2",95.7452296060606
"130","Lithuania",89.303243,1000,2,"2",95.7452296060606
"131","Mexico",97.073582,770,2,"2",95.7452296060606
"132","Netherlands",95.497939,2910,2,"2",95.7452296060606
"133","New Zealand",94.159757,2810,2,"2",95.7452296060606
"134","Northern Ireland UK",94.519292,2410,2,"2",95.7452296060606
"135","Norway",96.633061,3750,2,"2",95.7452296060606
"136","Poland",91.84555,1380,2,"2",95.7452296060606
"137","Slovak Republic",89.474362,1260,2,"2",95.7452296060606
"138","Slovenia",90.176188,1480,2,"2",95.7452296060606
"139","Spain",82.704235,2170,2,"2",95.7452296060606
"140","Sweden",93.934904,NA,2,"2",95.7452296060606
"141","Turkey",94.423632,NA,2,"2",95.7452296060606
"142","United States",92.562761,3280,2,"2",95.7452296060606
