"","Country","Year","GDP","Elem_secExp","PostsecExp"
"1","Australia","2005",34248.914,6891.025,14171.66
"2","Australia","2010",41044.164,10315.05,16310.29
"3","Australia","2015",46802.793,10745.37,20304.37
"4","Australia","2016",48788.891,10513.44,16181.19
"5","Australia","2017",49668.094,11180.3,20273.53
"6","Australia","2018",51646.9729999999,12227.13,20647.12
"7","Austria","2005",35024.574,NA,NA
"8","Austria","2010",42053.227,NA,NA
"9","Austria","2015",49942.066,13935.04,17560.62
"10","Austria","2016",52665.102,14914.05,18625
"11","Austria","2017",54185.32,15006.25,18974.75
"12","Austria","2018",57068.516,15253.98,20452.26
"13","Belgium","2005",33177.945,7582.833,12286.28
"14","Belgium","2010",39870.445,10465.98,15461.57
"15","Belgium","2015",46200.887,11892.67,17469.7
"16","Belgium","2016",48597.496,12472.27,18608.13
"17","Belgium","2017",50435.398,12934.21,19531.09
"18","Belgium","2018",52667.961,13321.71,20470.76
"19","Canada","2005",34682.117,NA,NA
"20","Canada","2010",38403.883,9948.072,NA
"21","Canada","2015",44745.078,10567.61,21810.46
"22","Canada","2016",45868.508,11193.53,24448.94
"23","Canada","2017",46371.031,11309.09,24517.08
"24","Canada","2018",48720.914,11853.53,24495.75
"25","Chile","2005",12667.854,2140.164,5968.981
"26","Chile","2010",18129.088,3279.102,7159.524
"27","Chile","2015",22603.768,4261.283,6731.183
"28","Chile","2016",23349.678,5060.579,9361.033
"29","Chile","2017",24402.91,5881.195,9433.091
"30","Chile","2018",24743.08,6356.417,8812.826
"31","Colombia","2005",8431.9561,NA,NA
"32","Colombia","2010",10866.059,NA,NA
"33","Colombia","2015",13330.563,2727.498,4686.239
"34","Colombia","2016",14054.696,2919.82,6145.012
"35","Colombia","2017",14479.813,3063.779,5569.522
"36","Colombia","2018",15227.475,3219.032,2862.727
"37","Costa Rica","2005",10299.326,NA,NA
"38","Costa Rica","2010",13318.136,NA,NA
"39","Costa Rica","2015",17649.314,NA,NA
"40","Costa Rica","2016",19119.336,NA,NA
"41","Costa Rica","2017",20368.23,NA,NA
"42","Costa Rica","2018",20988.162,NA,16472.57
"43","Czech Republic","2005",22045.998,4050.523,6572.162
"44","Czech Republic","2010",27789.607,5767.514,7960.391
"45","Czech Republic","2015",33909.309,7120.052,10960.24
"46","Czech Republic","2016",36101.285,7109.024,10193.64
"47","Czech Republic","2017",38842.898,8021.641,11440.47
"48","Czech Republic","2018",41147.629,9206.349,16147.57
"49","Denmark","2005",34152.883,8941.963,14867.33
"50","Denmark","2010",43041.191,11758.73,19568.03
"51","Denmark","2015",49058.141,NA,NA
"52","Denmark","2016",51967.023,10507.97,18977.95
"53","Denmark","2017",55356.488,11086.72,18453.34
"54","Denmark","2018",57459.164,11551.09,19684.24
"55","Estonia","2005",16574.445,3706.484,3837.837
"56","Estonia","2010",21781.656,6218.516,6755.439
"57","Estonia","2015",29436.406,6683.198,12905.99
"58","Estonia","2016",31574.43,6986.33,13042.96
"59","Estonia","2017",33902.09,7449.518,14545.41
"60","Estonia","2018",36406.027,8465.938,17432.52
"61","Finland","2005",32051.77,6637.572,12332.33
"62","Finland","2010",38985.867,8833.596,17186.82
"63","Finland","2015",42490.191,10041.78,17619.86
"64","Finland","2016",44934.4729999999,10253.49,17903.9
"65","Finland","2017",47570.254,10131.12,17726.42
"66","Finland","2018",49726.699,10661.02,18170.26
"67","France","2005",30504.061,7422.598,11188.65
"68","France","2010",35939.438,9125.052,15156.52
"69","France","2015",40829.918,9960.083,16247.39
"70","France","2016",42855.957,10377.93,16477.16
"71","France","2017",44480.695,10814.82,16870.73
"72","France","2018",46456.121,11201.06,17420.21
"73","Germany","2005",32236.752,7071.001,13056.92
"74","Germany","2010",39707.328,9217.828,17307.17
"75","Germany","2015",47609.555,10898.88,17062.67
"76","Germany","2016",50579.48,11553.59,17800.29
"77","Germany","2017",52952.875,12125.5,18381.67
"78","Germany","2018",54954.703,12774.27,19323.65
"79","Greece","2005",25577.436,5353.919,6319.723
"80","Greece","2010",27934.303,NA,NA
"81","Greece","2015",26720.922,6313.109,4102.882
"82","Greece","2016",27471.197,6506.28,NA
"83","Greece","2017",28644.986,6451.785,3300.047
"84","Greece","2018",29680.91,6943.053,3503.162
"85","Hungary","2005",17073.551,NA,NA
"86","Hungary","2010",21716.65,NA,NA
"87","Hungary","2015",26777.471,5983.583,8815.057
"88","Hungary","2016",27911.664,7033.567,11508.37
"89","Hungary","2017",29465.127,6696.466,12719.93
"90","Hungary","2018",31829.549,7152.703,13737.58
"91","Iceland","2005",37427.934,8961.454,9664.901
"92","Iceland","2010",39810.805,8804.503,8943.882
"93","Iceland","2015",49203.297,11227.67,12693.73
"94","Iceland","2016",53486.617,11862.4,14744.38
"95","Iceland","2017",55648.25,13252.75,15774.63
"96","Iceland","2018",58139.715,14592.98,15675.46
"97","Ireland","2005",40447.5,6481.02,10582.48
"98","Ireland","2010",43320.066,9749.852,NA
"99","Ireland","2015",69133.742,8507.817,16538.72
"100","Ireland","2016",71793.258,8888.034,16789.72
"101","Ireland","2017",78739.383,9179.16,16724.26
"102","Ireland","2018",85027,9921.229,17151.79
"103","Israel","2005",24743.428,4579.151,9952.302
"104","Israel","2010",28836.158,5686.493,10322.33
"105","Israel","2015",35487.895,NA,10651.17
"106","Israel","2016",37806.43,8424.808,11715.18
"107","Israel","2017",38849.914,9031.23,11510.64
"108","Israel","2018",40351.273,9571.615,12336.25
"109","Italy","2005",30016.152,7102.731,7273.56
"110","Italy","2010",34860.559,8169.346,10062.67
"111","Italy","2015",36899.375,9045.023,11318.01
"112","Italy","2016",39926.953,8901.49,11808.92
"113","Italy","2017",41581.129,9986.714,12166.71
"114","Italy","2018",43085.027,11202.35,12305.12
"115","Japan","2005",31524.385,7470.996,14653.24
"116","Japan","2010",34425.09,8882.478,17392.29
"117","Japan","2015",39403.66,10099.82,19179.87
"118","Japan","2016",39747.488,9866.487,18667.67
"119","Japan","2017",40408.918,9988.776,18888.4
"120","Japan","2018",41653.789,10185.22,19309.18
"121","Korea Republicof","2005",25186.639,NA,NA
"122","Korea Republicof","2010",31748.354,NA,NA
"123","Korea Republicof","2015",37902.359,11203.69,10267.51
"124","Korea Republicof","2016",39575.301,11812.96,10531.77
"125","Korea Republicof","2017",40957.3479999999,12690.72,10621.66
"126","Korea Republicof","2018",42486.738,13794.38,11289.58
"127","Latvia","2005",13877.968,3033.317,4270.356
"128","Latvia","2010",17658.762,4756.92,5857.873
"129","Latvia","2015",24964.057,6881.772,10222.25
"130","Latvia","2016",26712.816,6761.409,7601.488
"131","Latvia","2017",28666.02,6762.659,8342.39
"132","Latvia","2018",30814.203,7075.604,10309.37
"133","Lithuania","2005",14510.652,NA,4502.083
"134","Lithuania","2010",20112.098,4541.01,7171.585
"135","Lithuania","2015",28834.428,5312.415,9694.953
"136","Lithuania","2016",30925.17,5879.695,7852.196
"137","Lithuania","2017",33761.871,6082.577,8412.116
"138","Lithuania","2018",36346.398,6549.534,9905.478
"139","Luxembourg","2005",68140.664,NA,NA
"140","Luxembourg","2010",85587.023,NA,NA
"141","Luxembourg","2015",103760.15,20705.83,49516.46
"142","Luxembourg","2016",110260.95,20225.89,49523.15
"143","Luxembourg","2017",112187.77,21147.53,51851.05
"144","Luxembourg","2018",116480.84,23376.15,47693.71
"145","Mexico","2005",12539.957,2006.541,6224.856
"146","Mexico","2010",15257.674,2543.715,8128.47
"147","Mexico","2015",18454.801,3074.79,8379.113
"148","Mexico","2016",19516.145,3148.834,7554.652
"149","Mexico","2017",19947.199,2789.164,6554.887
"150","Mexico","2018",20519.424,2917.523,7907.089
"151","Netherlands","2005",37625.258,7760.141,15410.73
"152","Netherlands","2010",45079.387,9898.015,17614.39
"153","Netherlands","2015",50288.363,11022.86,19396.59
"154","Netherlands","2016",52289.379,11327.21,19873.65
"155","Netherlands","2017",55089.586,11875.54,20349.3
"156","Netherlands","2018",57899.832,12657.86,20898.28
"157","New Zealand","2005",24603.277,NA,NA
"158","New Zealand","2010",30116.939,NA,NA
"159","New Zealand","2015",35986.668,9175.882,15018.65
"160","New Zealand","2016",38136.668,9676.246,15231
"161","New Zealand","2017",40159.117,10092.91,16320.14
"162","New Zealand","2018",42143.309,9934.222,17923.29
"163","Norway","2005",36400.949,9793.355,NA
"164","Norway","2010",46421.801,12943.11,18870.17
"165","Norway","2015",50709.918,14065.5,20552.46
"166","Norway","2016",51191.238,14043.29,22448.29
"167","Norway","2017",54267.094,15109.95,23851.97
"168","Norway","2018",57577.137,15971.71,25427.95
"169","Poland","2005",13898.412,3180.593,4774.264
"170","Poland","2010",20828.982,5584.191,7219.168
"171","Poland","2015",26534.729,6786.444,9775.413
"172","Poland","2016",27985.346,7028.922,9155.585
"173","Poland","2017",29714.598,7572.844,10012.01
"174","Poland","2018",31613.691,8344.043,11191.82
"175","Portugal","2005",22725.342,5620.476,9636.104
"176","Portugal","2010",27282.75,NA,10268.39
"177","Portugal","2015",29660.828,8575.192,11823.4
"178","Portugal","2016",31607.607,9107.508,11213.77
"179","Portugal","2017",33044.715,9823.282,11773.56
"180","Portugal","2018",34931.859,10012.51,11779.28
"181","Slovak Republic","2005",16595.25,2769.514,5845.753
"182","Slovak Republic","2010",25030.396,5281.611,7197.009
"183","Slovak Republic","2015",29927.705,6763.243,15912.01
"184","Slovak Republic","2016",29659.34,6432.671,10979.71
"185","Slovak Republic","2017",30098.016,6533.032,11404.55
"186","Slovak Republic","2018",31561.938,7025.169,12113.36
"187","Slovenia","2005",23848.602,7072.008,NA
"188","Slovenia","2010",27844.898,8674.911,8989.274
"189","Slovenia","2015",31631.818,8445.189,10255.7
"190","Slovenia","2016",33942.766,8724.973,11487.92
"191","Slovenia","2017",36515.73,9181.787,12729.93
"192","Slovenia","2018",38952.043,9583.56,14060.44
"193","Spain","2005",27600.953,6328.586,9924.17
"194","Spain","2010",31716.693,8369.845,13202.27
"195","Spain","2015",34929.211,8227.535,12663.99
"196","Spain","2016",37313.656,8766.367,12866.65
"197","Spain","2017",39580.207,9154.796,13430.39
"198","Spain","2018",40780.266,9336.148,13800.44
"199","Sweden","2005",34244.359,7672.226,15549.59
"200","Sweden","2010",42256.277,10104.77,20651.73
"201","Sweden","2015",49103.063,11581.83,24679.15
"202","Sweden","2016",50430.176,12224.95,24841.31
"203","Sweden","2017",51947.945,12626.14,25200.3
"204","Sweden","2018",53553.316,13144.21,26147.3
"205","Switzerland","2005",41467.496,NA,NA
"206","Switzerland","2010",54809.773,NA,NA
"207","Switzerland","2015",66020.203,15150.75,NA
"208","Switzerland","2016",68105.156,11854.32,NA
"209","Switzerland","2017",69103.57,12057.95,NA
"210","Switzerland","2018",71705.617,NA,NA
"211","Turkey","2005",11910.613,NA,NA
"212","Turkey","2010",17359.971,NA,NA
"213","Turkey","2015",25855.924,4574.503,10408.77
"214","Turkey","2016",26695.902,5097.632,10592.4
"215","Turkey","2017",28193.068,4558.181,9631.063
"216","Turkey","2018",28263.238,4706.987,10008.1
"217","United Kingdom","2005",31260.186,7697.533,NA
"218","United Kingdom","2010",35488.699,9430.425,NA
"219","United Kingdom","2015",41629.699,11106.12,26506.35
"220","United Kingdom","2016",42880.016,11222.48,26188.88
"221","United Kingdom","2017",44529.453,11555.42,28042.59
"222","United Kingdom","2018",45956.965,12245.16,29911.32
"223","United States","2005",42653.656,9775.11,23637.29
"224","United States","2010",47520.102,11809.05,25681.08
"225","United States","2015",55723.828,12594.73,30001.31
"226","United States","2016",57216.859,13022.28,31306.91
"227","United States","2017",58864.852,13511.18,33063.35
"228","United States","2018",61408.418,14008.98,34035.54
